"";"x"
"1";"Cdca3"
"2";"Ddah1"
"3";"Ccna2"
"4";"Phgdh"
"5";"Gli3"
"6";"Cdca7"
"7";"Mfge8"
"8";"H2afz"
"9";"Cdca8"
"10";"Sox2"
"11";"Fabp7"
"12";"Mt2"
"13";"Mdk"
"14";"Tk1"
"15";"Ccnb2"
"16";"Knstrn"
"17";"Vim"
"18";"Mcm5"
"19";"Dbi"
"20";"Tuba1c"
"21";"Id4"
"22";"Mcm7"
"23";"Ccnb1"
"24";"Sox1"
"25";"Zfp36l1"
"26";"Pcna"
"27";"Prdx1"
"28";"Mt1"
"29";"Anp32b"
"30";"Cdc20"
"31";"Hmmr"
"32";"Zbtb20"
"33";"Pax6"
"34";"Gas1"
"35";"Sox3"
"36";"Sox6"
"37";"Sox9"
"38";"Slc1a3"
"39";"Pantr1"
"40";"Plpp3"
"41";"Sfrp1"
"42";"Tubb4b"
"43";"Cenpa"
"44";"Ptn"
"45";"H2afx"
"46";"Psat1"
"47";"Dhfr"
"48";"Hes5"
"49";"Tmpo"
"50";"Cdon"
"51";"Dek"
"52";"Qk"
"53";"Serpinh1"
"54";"Ppia"
"55";"Mir99ahg"
"56";"Wwtr1"
"57";"Hes1"
"58";"Plagl1"
"59";"Efnb1"
"60";"Slc25a5"
"61";"Ccdc34"
"62";"Aldoc"
"63";"Ttyh1"
"64";"Msi2"
"65";"Cd63"
