"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"Sox11";1,16718171479578e-48;-1,7187043174896;0,97;1;9,19739191259076e-46
"Stmn1";2,88391325285166e-40;-1,64150907199247;0,939;1;2,27252364324711e-37
"Nfib";1,15601135704418e-39;-1,85684685481158;0,879;1;9,10936949350816e-37
"Tuba1aTuba1b";8,22085473579839e-36;-1,53928877923874;1;1;6,47803353180913e-33
"Tubb3";1,80517374680605e-32;-1,89752783025593;0,576;0,986;1,42247691248317e-29
"Basp1";5,86885427486148e-32;-1,42367365777796;0,939;1;4,62465716859085e-29
"Nrep";1,80804491691121e-31;-1,63184917315187;0,576;0,986;1,42473939452603e-28
"Nnat";1,17873177278847e-27;-1,92926963067623;0,909;1;9,28840636957313e-25
"Nfix";9,83667976310746e-27;-1,67381838683371;0,848;1;7,75130365332868e-24
"Dcx";2,51298771085362e-26;-1,999978359503;0,364;0,986;1,98023431615265e-23
"Zic1";4,24496534887704e-26;-1,77548559721175;0,424;0,986;3,34503269491511e-23
"Nfia";5,95684951030669e-26;-1,39494250443754;0,879;1;4,69399741412167e-23
"Elavl4";2,80494602990477e-23;-1,45927127254337;0,545;0,973;2,21029747156496e-20
"Map2";3,6590271677779e-22;-1,47779251381649;0,424;1;2,88331340820899e-19
"Nsg2";5,19125107462168e-22;-1,58534031134072;0,394;0,986;4,09070584680188e-19
"Zbtb20";1,63937869914532e-21;-1,77430031929667;0,424;0,919;1,29183041492652e-18
"Rtn1";2,08256230794323e-21;-1,87887617938801;0,394;0,946;1,64105909865926e-18
"Marcksl1";5,06315221775504e-21;-1,10400913824328;0,879;1;3,98976394759097e-18
"Tubb2aTubb2b";9,3399434354949e-21;-1,42638736821961;0,97;1;7,35987542716998e-18
"Igfbpl1";2,3598082616978e-20;-1,49576630311808;0,303;0,986;1,85952891021787e-17
"Elavl3";2,47467022680133e-20;-1,53698686658951;0,545;0,986;1,95004013871945e-17
"Sbk1";4,43737812484546e-20;-1,22234920987418;0,515;0,986;3,49665396237823e-17
"Cdk2ap1";5,83604191766356e-19;-1,26775019290514;0,606;0,973;4,59880103111888e-16
"Bcl11b";1,42366062324062e-18;-1,86971576182455;0,333;0,878;1,12184457111361e-15
"Eomes";5,8982927654737e-18;-1,51492794046868;0,394;0,946;4,64785469919328e-15
"Cdk5r1";1,02277721902492e-17;-1,37530069851103;0,364;0,959;8,05948448591639e-15
"Ttc28";1,21882045013007e-17;-1,59147246438475;0,394;0,905;9,60430514702495e-15
"Map1b";5,19554864991269e-17;-1,30988667155656;0,788;0,986;4,0940923361312e-14
"Ptms";6,745473887185e-17;-1,24387885143913;0,485;0,986;5,31543342310178e-14
"Trim2";7,29739112073053e-17;-1,29946171870768;0,424;0,959;5,75034420313566e-14
"Ptprs";2,39095058971165e-16;-1,1094366408014;0,636;0,973;1,88406906469278e-13
