"";"x"
"1";"2810417H13Rik"
"2";"Arl6ip1"
"3";"Atf5"
"4";"Bnip3l"
"5";"Cdkn1c"
"6";"Cox7c"
"7";"Eomes"
"8";"Fabp7"
"9";"Gm14214|Rpl7a"
"10";"Gm43549"
"11";"H19"
"12";"H2afz"
"13";"Higd1a"
"14";"Hmgb1"
"15";"Hmgb2"
"16";"Hmgn2"
"17";"Igfbp5"
"18";"Ldha"
"19";"Lhx2"
"20";"Mdk"
"21";"Mki67"
"22";"Mt1"
"23";"Mt2"
"24";"Nap1l1"
"25";"Pabpc1"
"26";"Ptn"
"27";"Racgap1"
"28";"Ran"
"29";"Rpl13"
"30";"Rpl23"
"31";"Rpl23a-ps3"
"32";"Rps20"
"33";"Rps21"
"34";"Sfpq"
"35";"Smc4"
"36";"Sox2"
"37";"Sox9"
"38";"Top2a"
"39";"Tubb4b"
"40";"Ube2c"
"41";"Vim"
"42";"Zbtb20"
