"";"x"
"1";"2810417H13Rik"
"2";"Anp32b"
"3";"Arl6ip1"
"4";"Ccna2"
"5";"Cdk1"
"6";"Cdk4"
"7";"Cenpa"
"8";"Cenpf"
"9";"Ckb"
"10";"Ctnnb1"
"11";"Dbi"
"12";"Ddah1"
"13";"Erh"
"14";"Fabp7"
"15";"Gm43549"
"16";"Gnai2"
"17";"H2afv"
"18";"H2afz"
"19";"Hdgf"
"20";"Hint1"
"21";"Hmgb1"
"22";"Hmgb2"
"23";"Hmgn2"
"24";"Hnrnpa3"
"25";"Kpna2"
"26";"Mdk"
"27";"Mt1"
"28";"Mt2"
"29";"Nap1l1"
"30";"Nucks1"
"31";"Pcna"
"32";"Pea15a"
"33";"Psat1"
"34";"Ptprz1"
"35";"Qk"
"36";"Ran"
"37";"Rpl13"
"38";"Rrm2"
"39";"Sfrp1"
"40";"Slc25a5"
"41";"Smc2"
"42";"Smc4"
"43";"Tmpo"
"44";"Top2a"
"45";"Tubb4b"
"46";"Ube2c"
"47";"Vim"
