"";"x"
"1";"2410006H16Rik"
"2";"Aldoa"
"3";"Atf4"
"4";"Atxn2l"
"5";"Bsg"
"6";"Calr"
"7";"Ccni"
"8";"Cox6a1"
"9";"Cox8a"
"10";"Ddit4"
"11";"Eef2"
"12";"Eif1"
"13";"Eif2s2"
"14";"Eif5b"
"15";"Eno1"
"16";"Fth1"
"17";"Gm13075"
"18";"Gm3839"
"19";"Gm9493"
"20";"Gnb2l1"
"21";"Gpi1"
"22";"H1f0"
"23";"Hmgn1"
"24";"Hnrnpk"
"25";"Jun"
"26";"Kif5b"
"27";"Kmt2e"
"28";"Lrrc17"
"29";"Manf"
"30";"Meis2"
"31";"Ncl"
"32";"Rpl10a"
"33";"Rpl12"
"34";"Rpl13a"
"35";"Rpl17"
"36";"Rpl19"
"37";"Rpl28"
"38";"Rpl3"
"39";"Rpl31"
"40";"Rpl32"
"41";"Rpl34"
"42";"Rpl35a"
"43";"Rpl4"
"44";"Rpl5"
"45";"Rpl6"
"46";"Rpl7"
"47";"Rplp0"
"48";"Rps13"
"49";"Rps15"
"50";"Rps16"
"51";"Rps17"
"52";"Rps19"
"53";"Rps24"
"54";"Rps25"
"55";"Rps26"
"56";"Rps26-ps1"
"57";"Rps27rt"
"58";"Rps3a1"
"59";"Rps6"
"60";"Rps7"
"61";"Rps8"
"62";"Rps9"
"63";"Rpsa"
"64";"Serbp1"
"65";"Set"
"66";"Snhg1"
"67";"Srrm2"
"68";"Srsf3"
"69";"Tpi1"
"70";"Tpt1"
"71";"Wdr89"
"72";"Ybx1"
