"";"x"
"1";"Adgrl1"
"2";"Ank3"
"3";"Atpif1"
"4";"Atxn7l3b"
"5";"Bcl11a"
"6";"Bcl11b"
"7";"Bzw2"
"8";"Calm2"
"9";"Cd24a"
"10";"Cdk5r1"
"11";"Celf2"
"12";"Chl1"
"13";"Clmp"
"14";"Cnih2"
"15";"Csde1"
"16";"Ctxn1"
"17";"Dab1"
"18";"Dcx"
"19";"Dpysl5"
"20";"Dync1i2"
"21";"Eid1"
"22";"Eif4a2"
"23";"Enc1"
"24";"Epha5"
"25";"Fam49a"
"26";"Fezf2"
"27";"Foxg1"
"28";"Gap43"
"29";"Gm42418"
"30";"Gm9844"
"31";"Gpm6a"
"32";"Gria2"
"33";"Hdac2"
"34";"Hmgcs1"
"35";"Hn1"
"36";"Ina"
"37";"Jph4"
"38";"Kif5c"
"39";"L1cam"
"40";"Map1b"
"41";"Map2"
"42";"Mapre1"
"43";"Mapt"
"44";"Marcksl1"
"45";"Mef2c"
"46";"Meg3"
"47";"Mllt11"
"48";"mt-Atp8"
"49";"mt-Co1"
"50";"mt-Co2"
"51";"mt-Co3"
"52";"mt-Cytb"
"53";"mt-Nd1"
"54";"mt-Nd2"
"55";"mt-Nd3"
"56";"mt-Nd4"
"57";"mt-Nd4l"
"58";"mt-Nd5"
"59";"mt-Rnr1"
"60";"Myt1l"
"61";"Ncam1"
"62";"Neurod2"
"63";"Neurod6"
"64";"Nfib"
"65";"Nfix"
"66";"Nme1"
"67";"Nrep"
"68";"Nrp1"
"69";"Nsg1"
"70";"Nsg2"
"71";"Pak3"
"72";"Pbx1"
"73";"Pebp1"
"74";"Plxna2"
"75";"Ppp3ca"
"76";"Prdx2"
"77";"Prkce"
"78";"Ptms"
"79";"Ptprz1"
"80";"Rtn1"
"81";"Rtn3"
"82";"Rtn4"
"83";"Runx1t1"
"84";"Sept3"
"85";"Smarca4"
"86";"Sox4"
"87";"Sox5"
"88";"Ssbp3"
"89";"Stmn1"
"90";"Stmn2"
"91";"Tagln3"
"92";"Thra"
"93";"Tmsb10"
"94";"Tmsb4x"
"95";"Tsc22d1"
"96";"Ttc28"
"97";"Tuba1a|Tuba1b"
"98";"Tubb3"
"99";"Uchl1"
"100";"Xpr1"
"101";"Zbtb18"
"102";"Zfp462"
