"";"x"
"1";"Cdc42"
"2";"Usp22"
"3";"1810026B05Rik"
"4";"Actb"
"5";"Actg1"
"6";"Atp5b"
"7";"Banf1"
"8";"Dusp8"
"9";"Dynll1"
"10";"Eif3a"
"11";"Eif5a"
"12";"Fscn1"
"13";"Gm10036"
"14";"Gm10116"
"15";"Gm10263"
"16";"Gm2000"
"17";"Gm28037|Rpl24"
"18";"H3f3b"
"19";"Hnrnpa1"
"20";"Hnrnpc"
"21";"Igsf8"
"22";"Lrrc58"
"23";"Luc7l2"
"24";"Matr3"
"25";"Mid1"
"26";"Myl6"
"27";"Naca"
"28";"Ngfrap1"
"29";"Nnat"
"30";"Odc1"
"31";"Pcbp1"
"32";"Ptp4a1"
"33";"Rpl10-ps3"
"34";"Rpl15"
"35";"Rpl18"
"36";"Rpl18a"
"37";"Rpl21"
"38";"Rpl26"
"39";"Rpl27-ps3"
"40";"Rpl27a"
"41";"Rpl38"
"42";"Rps10"
"43";"Rps11"
"44";"Rps14"
"45";"Sbk1"
"46";"Sf3b1"
"47";"Srsf11"
"48";"Stmn4"
"49";"Trim28"
"50";"U2af2"
"51";"Ywhae"
"52";"Ywhaz"
