"";"x"
"1";"Ankrd12"
"2";"Brd3"
"3";"Cdk5r1"
"4";"Chd3"
"5";"Crmp1"
"6";"Csde1"
"7";"Dpysl3"
"8";"Epha5"
"9";"Gng2"
"10";"Grin2b"
"11";"Igf1r"
"12";"Meg3"
"13";"Pgk1"
"14";"Ppp3ca"
"15";"Thra"
"16";"Ube2r2"
"17";"2810403D21Rik"
"18";"Adgrl1"
"19";"Ank3"
"20";"Atp5g1"
"21";"Atpif1"
"22";"Bach2"
"23";"Bcl11a"
"24";"Bcl11b"
"25";"Bhlhe22"
"26";"Bzw2"
"27";"Calm2"
"28";"Ccdc88a"
"29";"Cd24a"
"30";"Cd47"
"31";"Cdkn1c"
"32";"Celf2"
"33";"Chl1"
"34";"Clmp"
"35";"Ctxn1"
"36";"Dcx"
"37";"Dpy19l1"
"38";"Dpysl5"
"39";"Dstn"
"40";"Dync1i2"
"41";"Eid1"
"42";"Eif4a1"
"43";"Fabp5"
"44";"Fam49a"
"45";"Fezf2"
"46";"Flrt3"
"47";"Fnbp1l"
"48";"Foxg1"
"49";"Gap43"
"50";"Gm20521"
"51";"Gm42418"
"52";"Gm9844"
"53";"Gpm6a"
"54";"Gria2"
"55";"Hmgcs1"
"56";"Hn1"
"57";"Hnrnpa0"
"58";"Igfbp2"
"59";"Igsf3"
"60";"Ina"
"61";"Itsn1"
"62";"Jph4"
"63";"Kif5c"
"64";"L1cam"
"65";"Map1b"
"66";"Map2"
"67";"Mapt"
"68";"Marcksl1"
"69";"Mef2c"
"70";"Mex3a"
"71";"Mllt11"
"72";"Mpped1"
"73";"mt-Nd1"
"74";"mt-Nd2"
"75";"mt-Nd3"
"76";"mt-Nd5"
"77";"Myt1l"
"78";"Ncam1"
"79";"Neurod2"
"80";"Neurod6"
"81";"Nfib"
"82";"Nfix"
"83";"Nme1"
"84";"Nrep"
"85";"Nrp1"
"86";"Nsg2"
"87";"Ntrk3"
"88";"Pak3"
"89";"Pbrm1"
"90";"Pbx1"
"91";"Pebp1"
"92";"Plxna2"
"93";"Ppia"
"94";"Prdx2"
"95";"Prkce"
"96";"Ptms"
"97";"Ptprd"
"98";"Ptprz1"
"99";"Rbfox1"
"100";"Rpl7a-ps5"
"101";"Rtn4"
"102";"Runx1t1"
"103";"Sept3"
"104";"Slc25a4"
"105";"Smarca4"
"106";"Snhg14"
"107";"Soga3"
"108";"Sox4"
"109";"Sox5"
"110";"Stmn1"
"111";"Stmn2"
"112";"Stmn3"
"113";"Syt4"
"114";"Tagln3"
"115";"Tmsb10"
"116";"Tmsb4x"
"117";"Tsc22d1"
"118";"Ttc28"
"119";"Tuba1a|Tuba1b"
"120";"Tubb3"
"121";"Ubc"
"122";"Uchl1"
"123";"Xpr1"
"124";"Zbtb18"
"125";"Zeb2"
"126";"Zfp462"
