"";"x"
"1";"2410006H16Rik"
"2";"Aldoa"
"3";"Arpc2"
"4";"Bsg"
"5";"Btf3"
"6";"Calr"
"7";"Cdc42"
"8";"Cdkn1b"
"9";"Ddit4"
"10";"Dusp8"
"11";"Eef2"
"12";"Eprs"
"13";"Ftl1"
"14";"Gm10116"
"15";"Gm10709|Rpl29"
"16";"Gm11808"
"17";"Gm2000"
"18";"Gm38299"
"19";"Gm8225|Rps2"
"20";"Gm9843"
"21";"Gpi1"
"22";"Hk2"
"23";"Hspa5"
"24";"Jund"
"25";"Kmt2e"
"26";"Luc7l2"
"27";"Manf"
"28";"Map4k4"
"29";"Mid1"
"30";"mt-Atp6"
"31";"mt-Atp8"
"32";"mt-Cytb"
"33";"mt-Nd4"
"34";"Myl6"
"35";"Ndn"
"36";"Nnat"
"37";"Pdia6"
"38";"Pgam1"
"39";"Pkm"
"40";"Rab6a"
"41";"Rpl8"
"42";"Rps19"
"43";"Rps28"
"44";"Rps3"
"45";"Sst"
"46";"U2af2"
"47";"Vcp"
"48";"Vegfa"
"49";"Ybx1"
