"";"x"
"1";"1810026B05Rik"
"2";"Actg1"
"3";"Arcn1"
"4";"Atf4"
"5";"Atp5a1"
"6";"Atxn2l"
"7";"Cct4"
"8";"Cox8a"
"9";"Csnk1a1"
"10";"Cxcr2"
"11";"Eef1a1"
"12";"Eif1"
"13";"Eif1b"
"14";"Eif2s2"
"15";"Eif3a"
"16";"Eif5b"
"17";"Gabarap"
"18";"Gas5"
"19";"Gatad2b"
"20";"Gm10263"
"21";"Gm13075"
"22";"Gm28037|Rpl24"
"23";"Gm9493"
"24";"Gnb1"
"25";"Gnb2l1"
"26";"H1f0"
"27";"H3f3b"
"28";"Hdac2"
"29";"Hmgn1"
"30";"Hnrnpa1"
"31";"Hnrnpc"
"32";"Hnrnpd"
"33";"Hnrnpdl"
"34";"Hnrnpk"
"35";"Hsp90ab1"
"36";"Igsf8"
"37";"Itm2b"
"38";"Jun"
"39";"Kif5b"
"40";"Lrrc17"
"41";"Luc7l3"
"42";"Matr3"
"43";"Meis2"
"44";"Mn1"
"45";"Naca"
"46";"Ncl"
"47";"Ngfrap1"
"48";"Odc1"
"49";"Pcbp1"
"50";"Ppp2ca"
"51";"Psma7"
"52";"Ptp4a1"
"53";"Ptp4a2"
"54";"Rbm25"
"55";"Rbm39"
"56";"Rnd2"
"57";"RP24-88J19.2"
"58";"Rpl10a"
"59";"Rpl12"
"60";"Rpl13-ps3"
"61";"Rpl13a"
"62";"Rpl15"
"63";"Rpl17"
"64";"Rpl18"
"65";"Rpl18a"
"66";"Rpl19"
"67";"Rpl21"
"68";"Rpl26"
"69";"Rpl27a"
"70";"Rpl28"
"71";"Rpl3"
"72";"Rpl30"
"73";"Rpl31"
"74";"Rpl32"
"75";"Rpl34"
"76";"Rpl35a"
"77";"Rpl37a"
"78";"Rpl4"
"79";"Rpl5"
"80";"Rpl6"
"81";"Rpl6l"
"82";"Rpl7"
"83";"Rpl9-ps6"
"84";"Rps10"
"85";"Rps11"
"86";"Rps13"
"87";"Rps14"
"88";"Rps15"
"89";"Rps15a"
"90";"Rps16"
"91";"Rps17"
"92";"Rps24"
"93";"Rps25"
"94";"Rps26"
"95";"Rps26-ps1"
"96";"Rps27rt"
"97";"Rps3a1"
"98";"Rps5"
"99";"Rps6"
"100";"Rps7"
"101";"Rps8"
"102";"Rps9"
"103";"Serbp1"
"104";"Set"
"105";"Sf1"
"106";"Sf3b1"
"107";"Slc3a2"
"108";"Snhg1"
"109";"Srrm2"
"110";"Srsf11"
"111";"Srsf2"
"112";"Srsf3"
"113";"Tpt1"
"114";"Tra2b"
"115";"Trim28"
"116";"Wdr89"
