"";"x"
"1";"A430073D23Rik"
"2";"BC051077"
"3";"Dnajb14"
"4";"Elavl2"
"5";"Gm10715|Gm10718|Gm10720|Gm10721|Gm10722|Gm17535"
"6";"Gm10717"
"7";"Gm10719|Gm11168"
"8";"Gm10800|Gm10801"
"9";"Gm17555"
"10";"Gm17615"
"11";"Gm21738"
"12";"Gm21750"
"13";"Gm21833|Gm21897"
"14";"Gm21962"
"15";"Gm26870"
"16";"Gm26905"
"17";"Gm29055"
"18";"Gm37158"
"19";"Gm37324"
"20";"Gm37404"
"21";"Gm37746"
"22";"Gm37900"
"23";"Gm37903"
"24";"Gm37954"
"25";"Gm42445"
"26";"Gm42519"
"27";"Gm43541"
"28";"Gm44044"
"29";"Irak1"
"30";"Kcnq1ot1"
"31";"Lars2"
"32";"RP23-341H2.4"
"33";"Rpl22"
"34";"Rpl30"
"35";"Rpl37a"
"36";"Rpl39"
"37";"Rps23"
"38";"Rps27a"
"39";"Rps29"
"40";"Tapbpl"
"41";"Vegfa"
"42";"Xist"
