"";"x"
"1";"A430073D23Rik"
"2";"BC051077"
"3";"Comt"
"4";"Gm10715|Gm10718|Gm10720|Gm10721|Gm10722|Gm17535"
"5";"Gm10717"
"6";"Gm10719|Gm11168"
"7";"Gm10800|Gm10801"
"8";"Gm17555"
"9";"Gm17615"
"10";"Gm21738"
"11";"Gm21750"
"12";"Gm21833|Gm21897"
"13";"Gm21962"
"14";"Gm26870"
"15";"Gm26905"
"16";"Gm29055"
"17";"Gm31258"
"18";"Gm37158"
"19";"Gm37324"
"20";"Gm37404"
"21";"Gm37746"
"22";"Gm37900"
"23";"Gm37903"
"24";"Gm37954"
"25";"Gm42445"
"26";"Gm42519"
"27";"Gm43541"
"28";"Gm44044"
"29";"Hspe1"
"30";"Irak1"
"31";"Kcnq1ot1"
"32";"Lars2"
"33";"Mme"
"34";"mt-Rnr1"
"35";"Nkain3"
"36";"RP23-271M19.2"
"37";"RP23-341H2.4"
"38";"Rps21"
"39";"Tapbpl"
"40";"Xist"
"41";"Zic1"
