"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"Hba-a1Hba-a2";1,9765650939616e-24;3,52601301779425;0,818;0,595;1,55753329404174e-21
"Hbb-y";8,37981310035431e-18;3,47943189200456;0,455;0,331;6,6032927230792e-15
"Hbb-bs";3,64853714633826e-14;2,46698055689523;0,394;0,215;2,87504727131455e-11
"Hspb1";4,01274913959105e-12;1,66782821627059;0,545;0,174;3,16204632199775e-09
"Pf4";9,72067509884353e-11;2,19404003297629;0,303;0,058;7,6598919778887e-08
"Fth1";4,00232907955379e-10;1,03969612282102;0,848;0,975;3,15383531468839e-07
"Aldoa";1,34238295820683e-09;0,854772295826224;1;0,752;1,05779777106698e-06
"Hspa1aHspa1b";3,86289188052933e-09;2,15380397012218;0,545;0,149;3,04395880185711e-06
"Mrps26";5,70685505256035e-09;1,17366964824884;0,545;0,479;4,49700178141755e-06
"Ttr";3,07133728642195e-08;2,92095431216474;0,515;0,43;2,4202137817005e-05
"Hba-x";4,52513077204794e-08;2,44444631304138;0,242;0,174;3,56580304837378e-05
"Cflar";5,58241524420502e-08;1,02317345428829;0,515;0,595;4,39894321243355e-05
"Srgn";1,46700264362311e-07;0,820624502643199;0,424;0,19;0,000115599808317501
"Hbb-bt";2,62152683186386e-07;1,48666568351389;0,242;0,091;0,000206576314350872
"Slc7a14";3,27702184511824e-07;1,26482809260992;0,303;0,264;0,000258229321395317
"Cxcr2";2,9759493074058e-06;0,941975958572255;0,485;0,438;0,00234504805423577
"Cdkn1a";3,42744371429032e-06;0,866116312445122;0,788;0,521;0,00270082564686077
"Ctla2a";3,44998204617504e-06;1,349970540377;0,182;0,025;0,00271858585238593
"Stxbp2";3,75416656128965e-06;0,823973195067162;0,424;0,289;0,00295828325029625
"Tapbpl";9,1077804227374e-06;0,77999519512016;0,788;0,678;0,00717693097311707
"Mettl7a3";1,56508803598089e-05;0,82607618353835;0,455;0,397;0,0123328937235294
"Fcer1g";2,1043731016005e-05;0,573666843872966;0,212;0,025;0,016582460040612
"Kcnn1";3,96135720131639e-05;0,718301809826092;0,273;0,24;0,0312154947463732
"Lepr";9,77209581904856e-05;0,811251154585783;0,333;0,215;0,0770041150541026
"Zfp940";0,000106007179189053;0,920777715622046;0,212;0,198;0,0835336572009734
"Laptm5";0,00013828118647155;0,684307816164989;0,152;0,025;0,108965574939582
"Hykk";0,000168063426887404;0,613957310630781;0,242;0,347;0,132433980387274
"Ctsb";0,000189217262485693;0,642928547398025;0,515;0,802;0,149103202838726
"Ftl1";0,000207408291852525;0,524213301285044;0,939;0,983;0,16343773397979
"Sstr2";0,00021097984712971;0,375251447279822;0,212;0,041;0,166252119538211
"2410006H16Rik";0,000223380139539181;0,401497434421139;0,788;0,694;0,176023549956874
"Ncbp3";0,000225149532600476;0,673604647972068;0,545;0,603;0,177417831689175
"Fermt3";0,00026668925150984;0,923688522343811;0,121;0,025;0,210151130189754
"Bnip3";0,000298110923468421;0,417557515954135;0,455;0,223;0,234911407693116
"B930036N10Rik";0,000315116218920952;0,470485876187955;0,576;0,479;0,24831158050971
"Bin2";0,000339582720565559;0,821605487852025;0,121;0,041;0,267591183805661
"Nrgn";0,000376505082729514;0,686724007647522;0,152;0,182;0,296686005190857
"Creg1";0,000424148541364594;0,578171805879271;0,182;0,157;0,3342290505953
"2810403D21Rik";0,000489255562439999;0,588302737190067;0,576;0,562;0,38553338320272
"Itgb3";0,000631013260175927;0,670382090625084;0,121;0,008;0,49723844901863
"Plek";0,000678748637589826;0,670498774425922;0,121;0,008;0,534853926420783
"Txnip";0,00103921365745845;0,519548334518512;0,515;0,521;0,818900362077257
"RP24-88J19.2";0,00167440400732771;0,569768467388222;0,485;0,512;1
"Nr2f1";0,00172982771879036;0,88295227650823;0,697;0,388;1
"Lgmn";0,00201768681013772;0,452346004932453;0,273;0,165;1
"Cnn2";0,00214500397964431;0,591046653332777;0,152;0,041;1
"Bst2";0,00229041817258971;0,406536302671877;0,152;0,041;1
"Ldha";0,00232009969914831;0,389029356904958;0,879;0,917;1
"Arpc1b";0,00234966879919127;0,376563333056256;0,242;0,223;1
"Neurod1";0,00293142986193712;0,275354124784598;0,333;0,149;1
"Ctsd";0,00303254107164621;0,454396245182838;0,364;0,372;1
"Slc2a1";0,00397514246295622;0,399761316924515;0,273;0,182;1
"Thbs1";0,00434383237531088;0,575216671817006;0,121;0,223;1
"Gng11";0,00456106833571784;0,263318594170487;0,121;0,025;1
"Irak1";0,00471187944710064;0,556272068352747;0,636;0,893;1
"5830462I19Rik";0,0049476671094043;0,568624280339404;0,121;0,322;1
"Ddit4";0,005249818865945;0,3812318535666;0,606;0,545;1
"Tmsb4x";0,00830128635364853;0,422527448803093;0,939;0,992;1
"C1qb";0,00839817384834345;0,261870131473964;0,152;0,041;1
"B2m";0,0110600038694679;0,405974418485808;0,364;0,579;1
"Xaf1";0,0119588806792989;0,458573085929747;0,424;0,496;1
"Casc4";0,012507695282748;0,349355706671788;0,727;0,752;1
"Rin1";0,0133093563551949;0,371209407014157;0,242;0,256;1
"Igfbp2";0,013730834383252;0,408561646067826;0,606;0,711;1
"Tln1";0,0143965664563353;0,420282164048984;0,091;0,289;1
"Hspa5";0,0217023785369736;0,349190377712073;0,848;0,95;1
"Csf3r";0,0262106435850181;0,293311400186339;0,121;0,182;1
"Sqstm1";0,0283938494705339;0,29092660420421;0,636;0,595;1
"Wdr12";0,0339824586157996;0,560616594343639;0,576;0,76;1
"Myh9";0,0346118989855165;0,340839749800721;0,182;0,273;1
"Hsph1";0,0355959508635244;0,287410108029901;0,727;0,826;1
"Apoe";0,0386658052976292;0,390088350882886;0,455;0,496;1
"Auts2";0,0401136145584245;0,250199567274197;0,545;0,463;1
"Slc2a3";0,0410303714056208;0,255885469859477;0,121;0,157;1
"Lrrc17";0,044764817026718;0,603251041134479;0,485;0,529;1
"Clu";0,105885386908634;0,312318086888348;0,394;0,455;1
"Gadd45g";0,139256081342828;0,317145349273422;0,364;0,306;1
"Lars2";0,17324426542065;0,414246787197929;0,848;0,81;1
