"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"Hba-a1Hba-a2";2,63478632417205e-18;3,33436960969488;0,818;0,662;2,07621162344757e-15
"Ttr";5,26541555301178e-15;3,89054591089167;0,515;0,338;4,14914745577328e-12
"Hbb-y";1,1713753615977e-12;3,39802474199987;0,455;0,338;9,23043784938989e-10
"Hspb1";5,50291353529162e-12;1,69339872599646;0,545;0,189;4,3362958658098e-09
"Aldoa";1,34407071599942e-10;1,04838460469653;1;0,662;1,05912772420754e-07
"Hbb-bs";4,86390620700909e-10;2,21994757257784;0,394;0,405;3,83275809112316e-07
"Fth1";1,06183290237127e-08;1,19701806050411;0,848;0,932;8,36724327068557e-06
"Nr2f1";8,46979814271543e-08;1,33690377588465;0,697;0,27;6,67420093645976e-05
"Hspa1aHspa1b";1,36266721032153e-07;1,99719936972687;0,545;0,23;0,000107378176173337
"Pf4";4,05654989582688e-07;2,23686177988389;0,303;0,014;0,000319656131791158
"Clu";7,13184701168126e-07;0,935732875262729;0,394;0,081;0,000561989544520483
"Hba-x";1,50456643644218e-06;2,3102369775541;0,242;0,257;0,00118559835191644
"Ctsb";1,96578151766715e-06;1,11163158552173;0,515;0,473;0,00154903583592171
"Cdkn1a";2,01290293951137e-06;0,892243491169217;0,788;0,541;0,00158616751633496
"Slc7a14";9,23115692372384e-06;1,23824345931553;0,303;0,311;0,00727415165589438
"Mrps26";1,25065148815288e-05;1,03247494544761;0,545;0,581;0,00985513372664468
"Serpinh1";1,6059446432547e-05;0,704453777201772;0,788;0,689;0,012654843788847
"Apoe";1,85497965303104e-05;0,839028352338803;0,455;0,243;0,0146172396658846
"Hbb-bt";2,07304864171016e-05;1,43842266873201;0,242;0,122;0,016335623296676
"Sparc";2,37230888153312e-05;0,844330987295626;0,667;0,419;0,018693793986481
"Ldha";2,60116508066491e-05;0,684940135173889;0,879;0,797;0,0204971808356395
"Wdr12";3,09997014442647e-05;0,953446593841183;0,576;0,757;0,0244277647380806
"Ctla2a";5,28813963336747e-05;1,28406990175953;0,182;0,095;0,0416705403109356
"Srgn";8,02164472232073e-05;0,754966779977834;0,424;0,216;0,0632105604118873
"Txnip";0,000109600189848212;0,648718600195626;0,515;0,473;0,086364949600391
"Mt1";0,000148379419244186;0,477934883349535;0,424;0,162;0,116922982364418
"Lars2";0,000289144815882318;1,0525562369812;0,848;0,716;0,227846114915266
"Ctsd";0,000298190705204512;0,602944553549092;0,364;0,284;0,234974275701155
"Mettl7a3";0,000318183241070357;0,770569949832601;0,455;0,473;0,250728393963442
"Tapbpl";0,000363172562423968;0,659194695213804;0,788;0,811;0,286179979190087
