"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"Stmn1";4,23661422257305e-46;-1,73009868722417;0,939;1;3,33845200738757e-43
"Sox11";8,63950933517101e-42;-1,65641673741965;0,97;1;6,80793335611476e-39
"Tuba1aTuba1b";1,15645987285154e-41;-1,5243175282981;1;1;9,11290379807017e-39
"Hmgn2";9,16529346460755e-34;-1,60703413088373;0,727;1;7,22225125011075e-31
"Cdk2ap1";4,04046272245047e-29;-1,57074380106983;0,606;1;3,18388462529097e-26
"Nfix";6,04033360406104e-29;-1,54026503882848;0,848;0,986;4,7597828800001e-26
"Elavl4";2,45720255864407e-28;-1,60161865906007;0,545;1;1,93627561621152e-25
"Hmgb1";7,18326178478719e-28;-1,25395289554659;0,97;1;5,66041028641231e-25
"Nfib";8,33219108315149e-28;-1,52282503617927;0,879;1;6,56576657352338e-25
"Hnrnpab";2,54931119254876e-25;-1,1584078495937;0,909;1;2,00885721972843e-22
"Igfbpl1";8,53775345595226e-25;-1,69934862749968;0,303;0,986;6,72774972329038e-22
"Marcksl1";1,04203334331337e-24;-1,17503613105069;0,879;1;8,21122274530936e-22
"Eomes";2,24583439817801e-22;-1,76671706773254;0,394;0,932;1,76971750576427e-19
"Sox4";1,07257003137525e-21;-1,22171706282288;0,788;1;8,45185184723699e-19
"Ppia";1,07367610451172e-21;-1,07521303131584;0,97;1;8,46056770355232e-19
"Zbtb20";2,31362373741593e-21;-1,69813822201723;0,424;0,986;1,82313550508375e-18
"H2afz";7,41703090211401e-21;-1,27815613523891;0,818;0,986;5,84462035086584e-18
"Basp1";2,07275709769167e-20;-1,12363411158528;0,939;1;1,63333259298103e-17
"H2afv";1,17750672136741e-19;-1,15978050607757;0,697;0,986;9,27875296437523e-17
"Calm1";1,5498225296798e-19;-1,05170761437916;0,97;0,986;1,22126015338768e-16
"Sfpq";3,4364986061454e-19;-1,18006254743172;0,667;1;2,70796090164258e-16
"Nasp";1,38325112949171e-18;-1,26270788727836;0,424;0,986;1,09000189003947e-15
"Trim2";1,90345253913225e-18;-1,40646214413156;0,424;0,932;1,49992060083622e-15
