"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"Tpi1";1,91811697082324e-07;0,771957809101277;0,933;0,829;0,000151147617300871
"Meis2";1,29450014067258e-06;0,682629752560744;0,878;0,686;0,00102006611084999
"Vegfa";5,89257641093588e-06;0,7088391920969;0,822;0,543;0,00464335021181748
"Epha5";7,81208933297e-06;0,639429222601826;0,778;0,314;0,00615592639438036
"Gapdh";8,4398168211713e-06;0,561569118406309;1;1;0,00665057565508298
"Igsf8";9,87609454805024e-06;0,654562624886107;0,922;0,771;0,00778236250386359
"Aldoc";1,18417678455318e-05;0,691617107484131;0,589;0,257;0,00933131306227905
"Sept3";1,80861247191416e-05;0,529376196332279;0,778;0,343;0,0142518662786836
"Pou3f3";2,26525087982364e-05;0,558975369257252;0,922;0,771;0,0178501769330103
"Fgfr3";2,30660554954181e-05;0,735042772726899;0,722;0,314;0,0181760517303895
"Efnb1";3,12630747725567e-05;0,667801867938011;0,8;0,486;0,0246353029207747
"Tubb2aTubb2b";4,2276306644401e-05;0,49801203676462;1;0,971;0,033313729635788
"Mcm6";4,56092983091229e-05;0,623099341993308;0,722;0,4;0,0359401270675888
"Tuba1aTuba1b";5,10435005883242e-05;0,501708510092083;1;1;0,0402222784635995
