"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"Hba-a1Hba-a2";1,21518276181969e-16;3,36966104105289;0,818;0,568;9,57564016313918e-14
"Hbb-y";5,6406781315233e-13;3,29996464747981;0,455;0,405;4,44485436764036e-10
"Hspb1";8,33770154633127e-13;1,69340397871102;0,545;0,216;6,57010881850904e-10
"Ttr";4,51777770164825e-10;3,54643999220235;0,515;0,324;3,56000882889882e-07
"Pf4";1,55277224362764e-08;2,18489594162398;0,303;0,068;1,22358452797858e-05
"Hspa1aHspa1b";2,11915917646647e-08;2,04769390597706;0,545;0,216;1,66989743105558e-05
"2810417H13Rik";2,79042445372292e-08;0,97891256680955;0,636;0,392;2,19885446953366e-05
"Fth1";2,94657829405093e-08;1,18350994415136;0,848;0,946;2,32190369571214e-05
"Mrps26";1,21158918537292e-07;1,21495333014291;0,545;0,473;9,54732278073857e-05
"Hbb-bs";1,7943012930851e-07;2,22828924526725;0,394;0,27;0,000141390941895106
"Sparc";1,92345298457142e-07;0,920220257362005;0,667;0,459;0,000151568095184228
"Clu";2,3339628497788e-07;0,960740016736844;0,394;0,068;0,000183916272562569
"Hspe1";4,37471011346534e-07;0,672394585495844;0,97;0,986;0,000344727156941069
"Hba-x";7,38421204112978e-07;2,33691425635073;0,242;0,257;0,000581875908841027
"Mt1";1,04155185815715e-06;0,597147229230397;0,424;0,068;0,000820742864227836
"Nr2f1";1,32615308314313e-06;1,18520972173582;0,697;0,365;0,00104500862951679
"Psat1";1,69304476570956e-06;0,628917293343574;0,697;0,419;0,00133411927537913
"Slc7a14";2,21699733804274e-06;1,31911182841599;0,303;0,257;0,00174699390237768
"Hspd1";3,43352543802215e-06;0,677448217660295;0,758;0,77;0,00270561804516145
"2410006H16Rik";4,213773493969e-06;0,580969288018948;0,788;0,541;0,00332045351324757
"Id4";7,45009844635906e-06;0,743300332200217;0,545;0,189;0,00587067757573094
"Srgn";1,40999739355948e-05;0,797537787006021;0,424;0,203;0,0111107794612487
"Plagl1";1,70428750887689e-05;0,514184660495587;0,697;0,405;0,0134297855699499
"Cdca7";1,7270047424149e-05;0,567592485902805;0,485;0,149;0,0136087973702294
"Sfrp1";2,16045647419385e-05;0,547214808850304;0,636;0,338;0,0170243970166476
"Fgfr3";2,23581497681205e-05;0,541462830124894;0,333;0,041;0,017618222017279
"Uhrf1";3,29457226196545e-05;0,431859125654001;0,424;0,108;0,0259612294242877
"Grb10";3,29949269781237e-05;0,596080989962963;0,818;0,486;0,0260000024587615
"Zfp36l1";3,39327975040627e-05;0,655057498389782;0,697;0,27;0,0267390444332014
"Hmgb2";3,49736578792041e-05;0,774258456060904;0,818;0,581;0,0275592424088128
"Ctla2a";5,2229869853263e-05;1,33471942877709;0,182;0,041;0,0411571374443712
"B2m";6,84654570848962e-05;0,757314459059227;0,364;0,311;0,0539507801828982
"Pea15a";7,03313957443352e-05;0,47125121984972;0,909;0,649;0,0554211398465361
"Hbb-bt";7,13246368678713e-05;1,33885820797216;0,242;0,189;0,0562038138518826
