"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"Hba-a1Hba-a2";6,51984750388578e-24;3,43219539197627;0,829;0,597;5,13763983306199e-21
"Hbb-y";2,7641755912495e-18;3,39806255775592;0,486;0,345;2,1781703659046e-15
"Hbb-bs";5,81101174078372e-13;2,37159749564864;0,4;0,227;4,57907725173757e-10
"Hspb1";5,68485511158662e-12;1,61843756531465;0,543;0,176;4,47966582793026e-09
"Pf4";2,36117311954816e-10;2,14064642973741;0,286;0,059;1,86060441820395e-07
"Fth1";4,75042712254257e-09;0,976113228078357;0,829;0,975;3,74333657256355e-06
"Hspa1aHspa1b";6,88959101701726e-09;2,08322619268879;0,514;0,16;5,4289977214096e-06
"Aldoa";7,1967833993667e-09;0,818592297130759;0,943;0,756;5,67106531870096e-06
"Ttr";3,60358893161893e-08;2,8358626501418;0,486;0,445;2,83962807811572e-05
"Hba-x";5,11358323842513e-08;2,39335307761952;0,257;0,168;4,02950359187901e-05
"Mrps26";9,74977276111956e-08;1,09329432275857;0,571;0,487;7,68282093576221e-05
"Hbb-bt";3,48057858917869e-07;1,42345519522576;0,229;0,109;0,000274269592827281
"Srgn";8,19586398233318e-07;0,773659979562407;0,4;0,193;0,000645834081807854
"Slc7a14";8,87512351029565e-07;1,22655626721733;0,286;0,252;0,000699359732611298
"Stxbp2";3,36571866635916e-06;0,801514845293819;0,429;0,286;0,00265218630909102
"Cdkn1a";5,03668667031163e-06;0,843464259441526;0,771;0,513;0,00396890909620556
"Ctla2a";5,56511420066699e-06;1,30593893528903;0,171;0,025;0,00438530999012559
"Tapbpl";1,91800126740527e-05;0,74011791752585;0,8;0,672;0,0151138499871535
"Mettl7a3";2,53893720526076e-05;0,787062565929562;0,429;0,403;0,0200068251774548
"Fcer1g";3,53050700824426e-05;0,547199142566428;0,2;0,025;0,0278203952249648
"Ftl1";6,43624455986511e-05;0,544478319178913;0,943;0,983;0,0507176071317371
"Ctsb";0,00010839928925221;0,645676393904317;0,514;0,79;0,0854186399307413
"Kcnn1";0,000111302021832667;0,678816202087116;0,257;0,235;0,0877059932041414
"Laptm5";0,000204483809268742;0,654456750372828;0,143;0,025;0,161133241703768
"Zfp940";0,000231010104928955;0,870566113143414;0,2;0,202;0,182035962684017
"Hykk";0,000234540662738178;0,579003522067044;0,257;0,361;0,184818042237684
"Sstr2";0,000342979560864589;0,354955940991065;0,2;0,042;0,270267893961296
"Fermt3";0,000364599608712743;0,887651482107431;0,114;0,025;0,287304491665642
"Cflar";0,00045252922203259;0,782186529637027;0,514;0,605;0,356593026961681
"Bin2";0,000471511278748648;0,78736853980202;0,114;0,042;0,371550887653934
"Nrgn";0,000606419691801896;0,649970610057368;0,143;0,185;0,477858717139894
"Lepr";0,000677996802749808;0,731183768203394;0,314;0,227;0,534261480566849
