Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Glycolysis	8	12.121212121212121	5.722990653270908E-12	GPI1, TPI1, PKM, PGAM1, PGK1, ENO1, ALDOA, GAPDH	64	35	22680	81.0	6.810343400331931E-10	6.810358877392381E-10	6.409749531663418E-10
GOTERM_BP_DIRECT	GO:0006096~glycolytic process	8	12.121212121212121	2.1133573372781816E-11	GPI1, TPI1, PKM, PGAM1, PGK1, ENO1, ALDOA, GAPDH	60	36	18082	66.97037037037036	1.3229595530184213E-8	1.3229616931361417E-8	1.3187349784615853E-8
KEGG_PATHWAY	mmu00010:Glycolysis / Gluconeogenesis	9	13.636363636363635	3.708651723651446E-11	GPI1, LDHA, TPI1, PKM, PGAM1, PGK1, ENO1, ALDOA, GAPDH	28	66	7691	37.45616883116884	2.5218858112907583E-9	2.521883172082983E-9	2.41062362037344E-9
GOTERM_CC_DIRECT	GO:0043209~myelin sheath	11	16.666666666666664	3.0766521292587265E-10	GPI1, PRDX2, PKM, PGAM1, CNTN2, TAGLN3, CKB, MIF, ENO1, ALDOA, GAPDH	61	192	19662	18.46670081967213	3.6304496076056125E-8	3.630449512525297E-8	3.2920177783068374E-8
KEGG_PATHWAY	mmu01200:Carbon metabolism	8	12.121212121212121	1.0242644346348142E-7	GPI1, TPI1, PKM, PGAM1, PGK1, ENO1, ALDOA, GAPDH	28	116	7691	18.94334975369458	6.964974254897172E-6	3.482499077758368E-6	3.328859412563146E-6
KEGG_PATHWAY	mmu01230:Biosynthesis of amino acids	7	10.606060606060606	1.9135066763909254E-7	TPI1, PKM, PGAM1, PGK1, ENO1, ALDOA, GAPDH	28	76	7691	25.299342105263158	1.3011761990977533E-5	4.337281799819431E-6	4.145931132180339E-6
UP_KEYWORDS	Phosphoprotein	42	63.63636363636363	3.141749122816671E-7	NRP1, NFIX, RPL12, CRMP1, STMN3, SLC2A3, SOGA3, ENO1, HSP90B1, PTMS, GPI1, EFNB1, TRP53I11, PRDX2, LDHA, CCND2, TUBB3, BASP1, DPYSL3, BSG, PGK1, CKB, HMGN2, TMSB10, GPM6B, APC2, MARCKSL1, SRRM4, TPI1, PGAM1, HN1, RPSA, SEPT3, VCAN, PKM, NFIA, NASP, PPP2R2B, DDIT4, TAGLN3, ALDOA, GAPDH	64	7617	22680	1.9540173296573455	3.7386121559235264E-5	1.8693407280759193E-5	1.7593795087773356E-5
GOTERM_BP_DIRECT	GO:0007399~nervous system development	11	16.666666666666664	3.487019008350316E-7	OLFM1, EFNB1, NRP1, NEUROD2, SRRM4, DPYSL3, ZIC1, NR2F1, CRMP1, SOX11, ELAVL3	60	377	18082	8.793191865605658	2.1826360499144215E-4	1.091436949613649E-4	1.0879499306052986E-4
KEGG_PATHWAY	mmu01130:Biosynthesis of antibiotics	9	13.636363636363635	4.4382257186382736E-7	GPI1, LDHA, TPI1, PKM, PGAM1, PGK1, ENO1, ALDOA, GAPDH	28	214	7691	11.551902536715621	3.0179486177672743E-5	7.544983721685065E-6	7.212116792787194E-6
GOTERM_BP_DIRECT	GO:0006094~gluconeogenesis	5	7.575757575757576	1.4483485752414528E-6	GPI1, TPI1, PGAM1, PGK1, GAPDH	60	26	18082	57.9551282051282	9.062559665097281E-4	3.022220693670498E-4	3.012565036502222E-4
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	24	36.36363636363637	1.5461741017798305E-6	MARCKSL1, TPI1, RPL12, PGAM1, SLC2A3, RPSA, MIF, ENO1, HSP90B1, GPI1, PRDX2, EFNB1, LDHA, PKM, RPS19, TUBB3, BASP1, DDAH2, BSG, PGK1, CKB, CALR, ALDOA, GAPDH	61	2674	19662	2.892995083193349	1.8243204230627974E-4	9.122427200501E-5	8.272031444522093E-5
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	39	59.09090909090909	2.5694787976799885E-6	RPL12, CRMP1, STMN3, SLC2A3, ENO1, GPI1, EFNB1, PRDX2, LDHA, CCND2, RPS19, TUBB3, BASP1, DPYSL3, ZIC1, NNAT, PGK1, CKB, HMGN2, TMSB10, APC2, MARCKSL1, RBFOX3, PGAM1, WNT5A, RPSA, SOX11, MIF, MEIS2, SEPT3, SBK1, PKM, NASP, DDAH2, PPP2R2B, DDIT4, CALR, ALDOA, GAPDH	61	6631	19662	1.8957603506629321	3.0315292752647327E-4	1.0106616604207955E-4	9.164474378391958E-5
GOTERM_CC_DIRECT	GO:0005829~cytosol	18	27.27272727272727	1.5563032457331202E-5	NRP1, TPI1, PGAM1, RPSA, HSP90B1, SEPT3, PTMS, GPI1, PRDX2, LDHA, CCND2, RPS19, PPP2R2B, DPYSL3, DDIT4, PGK1, CALR, GAPDH	61	1784	19662	3.252187017569654	0.001834766873969107	4.591094574912705E-4	4.1631111823360964E-4
UP_KEYWORDS	Cytoplasm	28	42.42424242424242	1.733701417949269E-5	CRMP1, ENO1, GPI1, PRDX2, LDHA, CCND2, TUBB3, DPYSL3, ZIC1, PGK1, CKB, HMGN2, TMSB10, APC2, MARCKSL1, RBFOX3, RPSA, MIF, MEIS2, SEPT3, SBK1, PKM, NASP, DDAH2, PPP2R2B, DDIT4, ALDOA, GAPDH	64	4404	22680	2.253065395095368	0.002060995797081966	6.8770156245321E-4	6.472485293677272E-4
GOTERM_CC_DIRECT	GO:0031012~extracellular matrix	8	12.121212121212121	3.0506755092335052E-5	VCAN, PKM, RPS19, RPL12, RPSA, CALR, GAPDH, HSP90B1	61	294	19662	8.770826363332219	0.003593380311871397	7.199594201791073E-4	6.528445589759701E-4
UP_KEYWORDS	Acetylation	22	33.33333333333333	6.333986548177731E-5	TPI1, RPL12, PGAM1, HN1, RPSA, ABRACL, MIF, ENO1, HSP90B1, PTMS, GPI1, PRDX2, LDHA, PKM, NASP, RPS19, PGK1, CALR, HMGN2, ALDOA, GAPDH, TMSB10	64	3125	22680	2.4947999999999997	0.007509345625776098	0.0018843609980828749	0.0017735162334897646
GOTERM_BP_DIRECT	GO:0007411~axon guidance	6	9.090909090909092	1.2429034882821053E-4	EFNB1, NRP1, TUBB3, WNT5A, CRMP1, CNTN2	60	149	18082	12.13557046979866	0.0748603630699688	0.01945143959161495	0.01938929441720084
UP_KEYWORDS	Nitration	4	6.0606060606060606	2.6669442748100664E-4	TPI1, DPYSL3, CRMP1, CKB	64	45	22680	31.5	0.031242415917513866	0.006347327374047958	0.005973955175574548
GOTERM_BP_DIRECT	GO:0007275~multicellular organism development	12	18.181818181818183	4.331545042871028E-4	OLFM1, EFNB1, NRP1, NEUROD2, TPI1, WNT5A, ZIC1, NNAT, SOX11, MEIS2, GAPDH, ELAVL3	60	1029	18082	3.514480077745384	0.2375462763150693	0.05423094393674527	0.05405768213503043
