Electroporated,Injected
Hspa1aHspa1b,RP23-271M19.2
Ldha,Rps21
Aldoa,Syt11
Nr2f1,Xist
Gas5,Hsp90aa1
Rplp1,RP23-341H2.4
Pgam1,Zic1
Fgfr3,Kcnq1ot1
Rpsa,A230046K03Rik
Gapdh,Cox6c
Pkm,Top1
Gpi1,Cadm1
Pea15a,Trp53inp1
Rpl12,Rbm28
Rplp0,Ccdc36
Rps19,Wnk1
Meis2,Klhl32
Mt1,Mme
Pgk1,Mapkbp1
Igfbp5,Stap1
Vegfa,AI838599
Tpi1,Hnrnpa2b1
Ptn,Malat1
Mif,Hsph1
Hspe1,Reln
Sema5a,Cmah
Slc2a1,Ildr2
2410006H16Rik,Fubp1
P4ha1,Tmem220
Npm1,A430073D23Rik
Bnip3,Wnt5a
Nap1l1,Nedd4
Ccnd2,Mpped2
Hk2,Rad21
Hspa9,Marcks
Efnb1,Dnajb14
Aldoc,Ddx5
Serpinh1,Hmgn2
Ddah1,Zic4
Bhlhe40,Zfp36l1
Cyr61,Epha4
Eno1,App
Ckb,Ctsl
Ybx1,Map1b
Higd1a,Vcan
Tcf7l1,RP24-439I22.3
Hspd1,Grk4
Plod2,Scd2
Ddit4,Nfia
Jun,Ctnnb1
Bsg,Btaf1
Id4,Hsp90b1
Hsp90b1,Mbnl2
Bnip3l,Gpm6b
Slc2a3,Sh3bgrl
Calr,Rmi2
Itm2b,Hspa8
Ntrk2,Rock1
Sfrp1,Ankrd12
Psat1,Ccnd2
Pcdh19,Hspa5
Egln1,Soga3
Clu,Casc4
,Tapbpl
,Prdx1
,Nasp
,Rtn4
,Ect2
,Sh3kbp1
,Atp2b1
,Vim
,Lhx2
,Pax6
,RP23-271M19.2
,Rps21
,Syt11
,Xist
,Hsp90aa1
,RP23-341H2.4
,Zic1
,Kcnq1ot1
,A230046K03Rik
,Cox6c
,Top1
,Cadm1
,Trp53inp1
,Rbm28
,Ccdc36
,Wnk1
,Klhl32
,Mme
,Mapkbp1
,Stap1
