,0,1,2,3,4
0,Plagl1,Elavl4,Cbfa2t3,Zfp36l1,Grb10
1,Sox2,Eomes,Elavl4,Grb10,Slc11a1
2,4933411E06Rik,Srrm4,Igfbpl1,Dct,Slc7a5
3,Zfp36l1,Igfbpl1,Dcx,Tcf7l1,Srrm4
4,Grb10,H2afz,Soga3,Cdca3,Eomes
5,Gli3,Hmgb1,Tbr1,Tacc3,Zfp36l1
6,Phgdh,Spc24,Nes,Hes1,Foxm1
7,Tead2,Anp32b,Srrm4,Slc7a5,Spc24
8,Hmgb1,Tmpo,Stmn3,Plagl1,Magt1
9,H2afv,Pbk,Rasgef1b,Cdkn1a,Fgfbp3
10,Fgfbp3,Ppia,Trp53inp2,Cdca8,Fbxo5
11,Hes5,Rbfox3,Tmsb4x,Ccna2,Zfhx2
12,Plpp3,Ran,Npas3,Hes5,Mif
13,Hmgn5,Smc4,Stmn1,Mki67,Eif4ebp1
14,Tcf7l1,Ranbp1,Cdk5r1,Nfasc,Hes1
15,Fbxo5,Plagl1,Hmgn5,Vim,Vim
16,Zfhx2,Lig1,Grb10,Cbfa2t3,Sox21
17,Soga3,Hes5,2700094K13Rik,Serpinh1,Igfbpl1
18,Rrm1,Dek,Anp32b,Racgap1,Dcx
19,Draxin,Txn1,Fabp5,Srrm4,Dct
20,Pax6,Foxm1,Syn2,Hopx,Kif23
21,Nes,Sstr2,Tubb3,Sox3,Cntnap2
22,H2afz,Rtn1,Qk,Cenpa,Racgap1
23,Mcm6,Tcf7l1,Sox1,Epha3,Soga3
24,Hmgb3,Nes,Hjurp,Eomes,Tk1
25,2700094K13Rik,Hdgf,Gpt2,Mllt11,Lig1
26,Fgfr3,Tk1,Serpinh1,Ccnb2,Cdk1
27,Igfbpl1,Zfp36l1,Gli3,Gas2l3,Pou3f1
28,Jun,Mcm7,Tmpo,Tpx2,Npas3
29,Dnajc9,Dhfr,Dtl,Gja1,Nuak1
30,Asns,Nfic,Plcxd2,Spc24,Rrm2
31,Sfrp1,Ier5,Ndrg2,Cdk1,Cdh5
32,Wwtr1,Mki67,Sox3,Cks2,Sema6a
33,Hes1,Incenp,Map2,Nfic,Elavl4
34,Gja1,Frmd4b,Rangap1,Foxm1,Incenp
35,Rrm2,Bhlhe22,Rnf165,Slc7a14,Rrm1
36,Nfasc,Mex3a,H2afz,Fgfbp3,Mycn
37,Sox1,Npm1,Tead2,Tagln3,Dut
