,0,1,2,3,4
0,Pbk,Tmpo,Scg3,Plpp3,Slc1a3
1,Qk,Spc24,Rbfox3,Rrm1,1700037C18Rik
2,H2afz,Elavl2,Dcx,Spc24,Ccna2
3,Sox11,Esco2,Nav1,Uhrf1,Kif5a
4,Spc25,Unc5d,6330403K07Rik,Pbk,Hes5
5,Igfbpl1,Hmgb2,Neurod6,Dut,Psrc1
6,Esco2,Pbk,Unc5d,Pcna-ps2,RP23-311C19.3
7,Gas2l3,H2afz,Gimap1,Sox3,Ckap2l
8,Kif22,Cdt1,Rangap1,Atad2,Cdca8
9,Plagl1,Ran,Sorbs2,Id4,Sfrp2
10,Cks2,Cenpf,Vim,Lig1,Nhlh1
11,Fn1,2610203C20Rik,Fn1,Mcm4,Cdc20
12,RP24-102H24.1,Aurkb,Psat1,Elavl2,Insm1
13,A830008E24Rik,Tbr1,Ndrg2,Cdca7,Pcp4
14,Spc24,Cdca3,Rnf165,Top2a,Bcl11b
15,Racgap1,2700094K13Rik,Rad21,Nr4a2,Knstrn
16,Efnb1,Fbxo5,H2afz,Sfrp1,Clu
17,Ckap2l,Top2a,Tcf7l1,Tagln3,Nkain3
18,Jun,Igfbpl1,P4ha1,H2afz,Foxm1
19,Txn1,Mcm5,Cdca7,Ccdc141,Ccnb2
20,Npm1,Elavl4,Klf7,Aurkb,Tbr1
21,Rrm1,Id4,L1cam,Clu,Hmgn5
22,Slc1a3,Slc17a6,Hjurp,Nrxn1,Lhx1
23,Eomes,Nr4a2,Egln1,Sox1,Ntrk2
24,Ran,Cdca7,Nrep,Igfbpl1,Neurod6
25,Mcm6,Mfap4,Jun,RP24-102H24.1,Nmrk1
26,Dek,Eomes,Srrm4,Cd81,Tspan18
27,Hmgn5,Sfrp2,Tspan18,Pcna,Ttc28
28,Tpx2,Nrp1,Gja1,Sorbs2,Neurod2
29,Top2a,Fn1,Hk2,Nhlh1,Slc17a6
30,Mis18bp1,Nes,Ldha,Ttyh1,Mis18bp1
31,Mfap4,Sstr2,Rab3a,Mllt11,Pcdh7
32,Sox3,Syn2,Apc2,Ascl1,Zfhx2
33,Cenpe,L1cam,Cks1b,Kif5a,Id4
34,Rpsa,Tubb3,Qk,Sstr2,Kif22
35,Ccdc141,Eif4ebp1,Itm2b,Tpx2,Sstr2
36,Ccnb2,Rtn1,Ube2s,Tk1,Zeb2
37,Atad2,Nhlh1,Mcm7,Anln,Ckap2
38,Ccna2,Sorbs2,Sqstm1,Mfap4,Ms4a6c
39,Ccnd2,Sox1,Pgam1,Nes,Myt1l
40,Hspa9,Olfm1,Calm2,Rrm2,Cenpe
41,Gnai2,Nap1l1,Mcm2,Mcm5,Trp53inp1
42,Lig1,Nusap1,Sox11,Ccnb2,Atad2
43,Birc5,Hmgb1,Pgk1,Sgol2a,Palmd
44,Nap1l1,Tfap2c,Insm1,Mcm2,Dcx
45,Ect2,RP24-102H24.1,Tgfb2,2700094K13Rik,Cd81
46,Pcna-ps2,Rab3a,Soga3,Nrep,Mt2
47,Kif5a,Psmb11,Tle1,Cacna2d1,Npm1
48,Tead2,Ildr2,Rian,Fgfr1,Cdk1
49,Uhrf1,Cks2,Actg1,Epha3,Ect2
50,Mcm2,Mcm6,Tpi1,Acot1,Ddah1
51,Jade1,Incenp,Chac1,Sox2,Cenpa
52,Sfrp2,Neurod1,Plagl1,Lockd,Tapbpl
53,Tk1,Neurod6,Ptgds,Syn2,Jun
54,Cdk6,Kif11,2500004C02Rik,Racgap1,Syn2
55,Cplx2,Zic4,B930036N10Rik,Klf7,Timp3
56,1810041L15Rik,Pou3f1,Nfasc,Ccna2,Sox6
57,Aurkb,RP24-88J19.2,Ier5,Neurod6,Neurod1
58,Mki67,Jph4,2610203C20Rik,Nrp1,Aurkb
59,Tacc3,Lockd,Id2,Rif1,Hmmr
60,Id2,Ccna2,Pcp4,Nuak1,Nuak1
61,Kif23,Tcf7l1,Bnip3,Rasgef1b,Spc25
62,Dut,Epha3,Mpped2,Nusap1,Tpx2
63,Hbb-bs,Limch1,D8Ertd82e,Tubb3,Cks2
64,D8Ertd82e,Gli3,Hbb-bs,Ttc28,Cacna2d1
65,Jph4,Bhlhe22,Draxin,Rin1,Cenpf
66,Ddah1,Zfp36l1,2700094K13Rik,Cdt1,Top2a
67,Tmpo,Rufy3,Tmem47,Hspa9,Tacc3
68,Rrm2,Neurod2,Ccdc34,2810417H13Rik,Hk2
69,Fbxo5,Sox21,Pax6,Dct,Nusap1
70,Ybx1,Sox3,2700038G22Rik,Mki67,Rnd2
71,Soga3,Knstrn,Aldoa,Nap1l1,Gja1
72,Nasp,Trp53inp1,Gpi1,Gas2l3,Ccng2
73,Foxo6,Igfbp5,Eif4ebp1,Ildr2,Eif4ebp1
74,Tapbpl,Gja1,Kif26a,Cdk5r1,Casc5
75,Dab1,Fam110a,Pvrl3,Vim,Esco2
76,Insm1,Tubb4b,Samhd1,Trp53inp1,Aurka
77,Anp32b,Grb10,Polr2l,Cd24a,Wwtr1
78,Gli3,Zbtb18,Zic5,Gja1,Lockd
79,Hspe1,Csrnp3,Nmrk1,Gpm6a,Cyr61
80,Cks1b,Tspan18,Socs2,Cdca3,Sap18
81,Ccdc88a,Tagln2,Neurog2,Grb10,Frmd4b
82,Rps19,Plk1,Cplx2,Tacc3,Mfap4
83,Cd24a,Rangap1,Nell2,Serpinh1,Cdca3
84,RP24-88J19.2,Nkain3,Nxph4,Rnd2,Nrxn1
85,C730034F03Rik,Vim,Bcl11b,Mcm7,Nes
86,Hmgn2,Dek,H2-T23,Anp32b,Nrp1
87,Egln1,Pea15a,Slc17a6,Cdk1,Unc5d
88,Zic1,C730034F03Rik,Slc35f1,Tfap2c,Tubb3
89,Fgfr3,Dlgap4,Zic3,Ptgds,Arhgef39
90,Aurka,Cdk5r1,Tubb3,Aldoc,Nkx2-1
91,P4ha1,Rasgef1b,Kif21b,Fbxo5,Mki67
92,Gpm6a,Wwtr1,Nasp,Nsg2,Shmt2
93,Hmmr,Kif5a,Stxbp2,Kif22,Islr2
94,Psat1,Mcm3,Dclk1,Birc5,Uhrf1
95,Ascl1,Cdca8,Dnajc9,Zbtb18,Ccnb1
96,Psrc1,Aspm,Serpinh1,Cntnap2,Anln
97,Mcm4,Flrt1,Ttc28,Ect2,Sorbs2
98,Tspan18,Birc5,Sez6,Dek,Plek
99,RP23-311C19.3,Cdc20,Ascl1,Mt2,Cd24a
