"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"Zbtb20";8,0419602941082e-32;-2,05041999897118;0,424;0,992;6,33706471175726e-29
"Tuba1aTuba1b";6,40831503235679e-30;-1,20206076721069;1;1;5,04975224549715e-27
"Nfix";8,15935932879989e-23;-1,40673578096138;0,848;0,983;6,42957515109431e-20
"Nfib";1,65327975235206e-20;-1,10638108788555;0,879;1;1,30278444485343e-17
"Sox2";6,354762051695e-20;-1,09634056435054;0,758;0,992;5,00755249673566e-17
"Ppia";7,06066598027489e-20;-1,02533081354349;0,97;1;5,56380479245662e-17
"Stmn1";1,17172481311691e-17;-0,973982609680788;0,939;1;9,23319152736124e-15
"Marcksl1";3,44997297547321e-17;-0,910071165431669;0,879;0,992;2,71857870467289e-14
"Zic1";6,23117122143079e-17;-1,32601324372062;0,424;0,942;4,91016292248746e-14
"Mdk";1,50360619313245e-16;-0,929019631427011;0,909;1;1,18484168018837e-13
"Nnat";1,79786889258661e-16;-1,25135402638056;0,909;1;1,41672068735825e-13
"Hmgn2";1,94079237080245e-16;-1,07007259586325;0,727;0,992;1,52934438819233e-13
"H2afz";1,03895222265671e-15;-1,08563816621239;0,818;1;8,18694351453491e-13
"Ttyh1";3,99086525960968e-15;-1,16410145207695;0,545;0,917;3,14480182457243e-12
"Nfia";7,71729759395199e-15;-1,03144340529533;0,879;0,992;6,08123050403417e-12
"Sox9";1,94264176681794e-14;-0,988561256497395;0,758;0,992;1,53080171225254e-11
"Hmgb1";5,26771350366853e-14;-0,987363267141898;0,97;1;4,1509582408908e-11
"Dbi";8,99866717499547e-14;-1,19038965604649;0,455;0,942;7,09094973389643e-11
"H2afv";1,50643725734328e-13;-0,95557830310943;0,697;0,983;1,18707255878651e-10
"Cdk2ap1";8,43464843560353e-13;-0,924731552219573;0,606;0,942;6,64650296725558e-10
"Ptprz1";9,89275042111495e-13;-1,47744974197403;0,212;0,86;7,79548733183858e-10
"Ptms";1,22442555998267e-12;-0,993137134075076;0,485;0,95;9,64847341266343e-10
"Ran";1,34946065643298e-12;-0,881656359982228;0,909;0,983;1,06337499726919e-09
